# Generated by migration/scripts/inventory.ps1 -- do not edit by hand.
# Regenerate after pulling upstream Java changes.
module	java_package	java_files	java_lines	go_package	status
pdfbox	org.apache.pdfbox.pdmodel.common.function	6	1249	pdfbox/pdmodel/common/function	not-started
pdfbox	org.apache.pdfbox.pdmodel.common.function.type4	11	1597	pdfbox/pdmodel/common/function/type4	not-started
pdfbox	org.apache.pdfbox.pdmodel.documentinterchange.logicalstructure	12	2553	pdfbox/pdmodel/interchange/logicalstructure	not-started
pdfbox	org.apache.pdfbox.pdmodel.documentinterchange.markedcontent	2	253	pdfbox/pdmodel/interchange/markedcontent	not-started
pdfbox	org.apache.pdfbox.pdmodel.documentinterchange.prepress	1	179	pdfbox/pdmodel/interchange/prepress	not-started
pdfbox	org.apache.pdfbox.pdmodel.documentinterchange.taggedpdf	9	3285	pdfbox/pdmodel/interchange/taggedpdf	not-started
pdfbox	org.apache.pdfbox.pdmodel.encryption	19	4939	pdfbox/pdmodel/encryption	not-started
pdfbox	org.apache.pdfbox.pdmodel.fdf	31	6185	pdfbox/pdmodel/fdf	not-started
pdfbox	org.apache.pdfbox.pdmodel.fixup	3	101	pdfbox/pdmodel/fixup	not-started
pdfbox	org.apache.pdfbox.pdmodel.fixup.processor	5	462	pdfbox/pdmodel/fixup/processor	not-started
pdfbox	org.apache.pdfbox.pdmodel.font	39	11398	pdfbox/pdmodel/font	not-started
pdfbox	org.apache.pdfbox.pdmodel.font.encoding	12	2268	pdfbox/pdmodel/font/encoding	not-started
pdfbox	org.apache.pdfbox.pdmodel.graphics	4	382	pdfbox/pdmodel/graphics	not-started
pdfbox	org.apache.pdfbox.pdmodel.graphics.blend	2	591	pdfbox/pdmodel/graphics/blend	not-started
pdfbox	org.apache.pdfbox.pdmodel.graphics.color	23	4287	pdfbox/pdmodel/graphics/color	not-started
pdfbox	org.apache.pdfbox.pdmodel.graphics.form	3	429	pdfbox/pdmodel/graphics/form	not-started
pdfbox	org.apache.pdfbox.pdmodel.graphics.image	9	4818	pdfbox/pdmodel/graphics/image	not-started
pdfbox	org.apache.pdfbox.pdmodel.graphics.optionalcontent	3	688	pdfbox/pdmodel/graphics/optionalcontent	not-started
pdfbox	org.apache.pdfbox.pdmodel.graphics.pattern	3	459	pdfbox/pdmodel/graphics/pattern	not-started
pdfbox	org.apache.pdfbox.pdmodel.graphics.shading	37	4828	pdfbox/pdmodel/graphics/shading	not-started
pdfbox	org.apache.pdfbox.pdmodel.graphics.state	6	1941	pdfbox/pdmodel/graphics/state	not-started
pdfbox	org.apache.pdfbox.pdmodel.interactive	4	761	pdfbox/pdmodel/interactive	not-started
pdfbox	org.apache.pdfbox.pdmodel.interactive.action	25	3063	pdfbox/pdmodel/interactive/action	not-started
pdfbox	org.apache.pdfbox.pdmodel.interactive.annotation	32	5098	pdfbox/pdmodel/interactive/annotation	not-started
pdfbox	org.apache.pdfbox.pdmodel.interactive.annotation.handlers	20	5133	pdfbox/pdmodel/interactive/annotation/handlers	not-started
pdfbox	org.apache.pdfbox.pdmodel.interactive.digitalsignature	12	2474	pdfbox/pdmodel/interactive/digitalsignature	not-started
pdfbox	org.apache.pdfbox.pdmodel.interactive.digitalsignature.visible	6	2036	pdfbox/pdmodel/interactive/digitalsignature/visible	not-started
pdfbox	org.apache.pdfbox.pdmodel.interactive.documentnavigation.destination	8	960	pdfbox/pdmodel/interactive/navigation/destination	not-started
pdfbox	org.apache.pdfbox.pdmodel.interactive.documentnavigation.outline	4	789	pdfbox/pdmodel/interactive/navigation/outline	not-started
pdfbox	org.apache.pdfbox.pdmodel.interactive.form	21	5896	pdfbox/pdmodel/interactive/form	not-started
pdfbox	org.apache.pdfbox.pdmodel.interactive.measurement	4	817	pdfbox/pdmodel/interactive/measurement	not-started
pdfbox	org.apache.pdfbox.pdmodel.interactive.pagenavigation	7	620	pdfbox/pdmodel/interactive/pagenavigation	not-started
pdfbox	org.apache.pdfbox.pdmodel.interactive.viewerpreferences	1	406	pdfbox/pdmodel/interactive/viewerpreferences	not-started
pdfbox	org.apache.pdfbox.printing	4	643	pdfbox/printing	not-started
pdfbox	org.apache.pdfbox.rendering	10	4370	pdfbox/rendering	not-started
pdfbox	org.apache.pdfbox.text	6	3799	pdfbox/text	not-started
pdfbox	org.apache.pdfbox.util	9	2091	pdfbox/util	not-started
pdfbox	org.apache.pdfbox.util.filetypedetector	3	285	pdfbox/util/filetypedetector	not-started
pdfbox-layout-awt	org.apache.pdfbox.glyphlayout.awt	2	436	pdfbox/glyphlayout/awt	not-started
pdfbox-layout-awt	org.apache.pdfbox.glyphlayout.examples	1	75	-	not-started
pdfbox-layout-fop	org.apache.pdfbox.glyphlayout.examples	1	72	-	not-started
pdfbox-layout-fop	org.apache.pdfbox.glyphlayout.fop	3	541	pdfbox/glyphlayout/fop	not-started
tools	org.apache.pdfbox.tools	22	4309	cmd/pdfbox	not-started
tools	org.apache.pdfbox.tools.imageio	4	710	pdfbox/imageio	not-started
xmpbox	org.apache.xmpbox	3	955	xmpbox	not-started
xmpbox	org.apache.xmpbox.schema	15	5335	xmpbox/schema	not-started
xmpbox	org.apache.xmpbox.type	50	3975	xmpbox/xmptype	not-started
xmpbox	org.apache.xmpbox.xml	6	2006	xmpbox/xml	not-started
